科目コード,部門コード,PJコード,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
1000,S01,PJ001,193514,905551,793765,733709,645937,573478,989844,996886,929946,126872,773306,971851
2000,S02,PJ002,438421,201778,219959,934737,317252,574343,725112,550939,186196,848995,582802,229161
3000,D01,PJ003,429777,941997,226534,335071,660657,268759,732278,663049,880915,626795,886928,300526
4000,D02,,241806,512328,107148,521542,935470,867003,571245,466505,839517,184462,124652,233922
4100,S01,PJ001,267758,255052,400547,970297,110341,369229,118150,902563,862489,488732,953904,481755
1000,S02,PJ002,763668,625045,890526,921678,319163,100565,641143,633182,830621,200254,719638,264018
2000,D01,PJ003,832210,621243,247696,159572,592882,130147,905691,214575,691700,214944,100798,126792
3000,D02,,618675,668805,432035,474996,435856,929682,290876,477910,520238,254923,379574,290329
4000,S01,PJ001,649182,769363,647475,544416,119529,596432,255392,257944,228796,718168,101630,613867
4100,S02,PJ002,694141,111942,434250,255486,579744,854193,843595,998272,362189,155223,451447,187989
1000,D01,PJ003,190435,341996,390862,296520,358643,138317,813305,164441,324846,327458,322508,123893
2000,D02,,206444,494507,470320,491571,744280,319765,392456,247978,292258,109290,437864,297791
3000,S01,PJ001,439642,500759,172264,737206,259626,252722,663338,391485,144007,155287,271448,684816
4000,S02,PJ002,736512,507852,711836,396908,415461,978755,342930,783676,165855,449683,649576,698061
4100,D01,PJ003,691197,573955,395973,212709,235633,860973,996844,168492,270777,780409,787513,568930
1000,D02,,737897,537435,747235,535517,373636,910825,742235,558962,757148,689679,103299,640305
2000,S01,PJ001,437768,129221,284631,576968,951906,350551,218305,562398,355574,407124,538980,489001
3000,S02,PJ002,509999,606624,779142,762407,626645,672967,877243,786318,959106,790980,590777,608778
4000,D01,PJ003,191995,423835,660140,641571,824351,952443,744696,680685,697005,359703,102102,477250
4100,D02,,833923,314578,781889,299323,388588,863442,339404,563643,258162,693631,991601,586016
1000,S01,PJ001,528643,464990,461756,454796,216257,393224,172348,808528,104025,754194,133258,505074
2000,S02,PJ002,982080,618385,923860,616724,496409,521944,212479,523628,218568,217735,621392,717767
3000,D01,PJ003,871854,231215,217871,536680,163963,374499,338977,948963,475708,476517,804946,850135
4000,D02,,880091,309409,269176,503846,449910,940631,952068,540799,227505,821133,481659,861322
4100,S01,PJ001,548373,291925,720823,915530,979847,345758,832252,336854,823600,691174,686161,229143
1000,S02,PJ002,715334,162917,302478,333900,351915,633475,808547,554606,425404,179957,685256,459858
2000,D01,PJ003,537598,364002,723867,978849,702577,891082,373485,731281,496209,248491,232372,759576
3000,D02,,290791,644055,858280,754791,819082,134701,122927,908539,163114,621148,330269,679855
4000,S01,PJ001,845544,493819,926597,919077,111182,623169,769699,957867,768167,667007,482058,272875
4100,S02,PJ002,769896,140898,980367,413707,952339,387009,857864,414327,602043,956582,141485,270075
1000,D01,PJ003,135884,433082,837880,782023,160848,488376,713162,661239,378545,203717,116154,820375
2000,D02,,127431,610723,457919,213851,946899,932174,420421,519414,143132,913570,535355,910283
3000,S01,PJ001,859343,521706,114795,876337,400690,883184,513166,308986,796294,972736,599646,376905
4000,S02,PJ002,673858,342932,848635,442030,584285,597675,293189,875649,602629,614535,136461,823929
4100,D01,PJ003,786350,118769,985070,884294,441940,909926,705934,599844,692367,938415,665508,943715
1000,D02,,523656,276638,288020,203749,393146,104015,772431,880333,511573,175255,951030,391181
2000,S01,PJ001,122971,730434,523464,251057,145732,494955,493770,163811,505168,440433,914155,306291
3000,S02,PJ002,209552,828750,158864,949984,244220,427966,930899,905678,972912,770936,779097,231687
4000,D01,PJ003,694836,330257,467835,972813,611466,455941,590827,588590,690107,658509,453848,998207
4100,D02,,715785,806246,312352,359912,672982,829403,283417,653620,881688,364875,833952,557619
1000,S01,PJ001,503559,977183,702908,849910,655433,606400,408718,592288,839630,146587,557389,679564
2000,S02,PJ002,767197,870710,160558,329700,365133,754763,479343,529067,843754,543731,382776,193866
3000,D01,PJ003,334970,429629,250788,317465,282518,666486,107152,420482,773207,362031,223798,976294
4000,D02,,923305,566892,859465,386214,499254,450272,142614,275836,861446,531921,428171,281095
4100,S01,PJ001,367889,566118,320862,518182,618266,495267,597065,505582,988323,632271,246277,627524
1000,S02,PJ002,334118,567006,661156,870586,884179,247626,675061,693464,674797,899463,105718,180145
2000,D01,PJ003,152627,381571,835859,436795,844829,683646,568707,224370,619346,651993,743347,712669
3000,D02,,682711,331100,844915,392972,424168,491512,441574,204841,608159,365399,170441,108536
4000,S01,PJ001,616448,438766,739191,991418,376594,242295,949595,107741,174320,636719,253081,790085
4100,S02,PJ002,617519,630756,135651,629061,916930,733903,553895,612535,404044,307048,165557,390259
1000,D01,PJ003,852105,779747,340452,743273,718258,811957,489355,345827,304672,812843,985991,459198
2000,D02,,369098,973344,923452,151412,645241,942001,170134,747114,160437,895189,353749,693257
3000,S01,PJ001,942032,791406,771291,530274,714048,227375,637006,903730,237988,625369,939723,920565
4000,S02,PJ002,979083,174765,712886,361449,195979,952878,176014,124191,394629,916428,716769,179067
4100,D01,PJ003,434023,475752,253194,938397,322289,589904,768165,942660,948959,924721,742974,657902
1000,D02,,204483,815934,306043,864326,793488,534659,347091,567723,269736,976467,400834,741702
2000,S01,PJ001,353214,947942,881736,635096,902321,192703,650114,744947,925921,863776,153379,420117
3000,S02,PJ002,998822,737617,803930,408034,333496,613114,723288,617408,570887,469990,742128,647505
4000,D01,PJ003,466222,409137,371344,167317,688576,286957,114234,820041,411106,279946,772785,742828
4100,D02,,423174,362760,740056,733554,601675,378481,765007,672708,139679,169847,526700,205699
1000,S01,PJ001,422389,113442,829997,677705,752089,629517,780463,899630,820198,855262,270350,718023
2000,S02,PJ002,975295,332801,167923,173139,610268,380478,258474,328046,592021,978200,766434,295591
3000,D01,PJ003,292092,572646,543645,993650,807376,536349,946593,483524,530132,371168,735388,568106
4000,D02,,897981,781855,429668,904655,883476,159077,638481,184557,387179,401655,493340,170802
4100,S01,PJ001,746479,824410,754317,744624,919150,443224,672107,758622,671425,785417,730909,170497
1000,S02,PJ002,365498,297773,592104,447753,308163,654404,143619,694008,532922,162983,382825,726229
2000,D01,PJ003,509645,926377,970729,753798,404179,370497,912714,326876,704297,251920,315566,381159
3000,D02,,299599,754271,712908,611914,863384,168856,905923,433446,959067,235762,701765,978057
4000,S01,PJ001,977433,766696,690026,545780,142649,299969,136086,552486,136274,900531,850297,234351
4100,S02,PJ002,907016,841103,673217,397709,851922,881220,323032,240770,950854,280711,293772,841105
1000,D01,PJ003,989141,415039,831280,243215,211057,300619,635930,405760,880760,641599,136618,678644
2000,D02,,830414,197171,376123,160746,159053,790375,765450,555188,907985,616848,878869,817271
3000,S01,PJ001,531711,964235,419806,993631,395505,769977,411466,552324,263798,806154,874137,731788
4000,S02,PJ002,567403,951920,933288,977971,400944,749670,267688,717795,752003,151799,621679,868868
4100,D01,PJ003,713617,361665,247634,922454,629390,411893,158845,903396,749800,587624,295493,585025
1000,D02,,371111,238004,594020,749761,726100,429646,269021,959300,556341,379261,459637,400833
2000,S01,PJ001,282125,317439,890948,883281,752605,358975,747594,102324,572324,443897,996988,226083
3000,S02,PJ002,860050,342469,270260,632436,874788,208811,183865,638790,634564,554201,611367,657976
4000,D01,PJ003,341096,654148,932700,742819,710502,701523,383788,192776,493051,832479,667564,244690
4100,D02,,388520,900732,215798,636261,910223,162644,668251,531565,854430,995959,462521,331452
1000,S01,PJ001,283298,561777,258028,411623,146926,517834,666772,666075,434771,116105,799932,709754
2000,S02,PJ002,753716,557399,923150,721964,225148,957991,301731,399480,844315,598298,417943,101098
3000,D01,PJ003,213856,823173,354167,981352,218349,885716,133241,813528,687174,198901,756129,298809
4000,D02,,970025,125861,324163,956521,447631,455294,246440,631546,513756,248024,695552,771569
4100,S01,PJ001,424129,518560,109460,481188,520416,445878,477539,135551,102820,930658,812163,884069
1000,S02,PJ002,701070,857908,222900,859718,858628,658482,981355,342265,210729,270006,522726,182894
2000,D01,PJ003,907335,922128,892640,305621,108573,696972,840003,198510,365903,787055,318161,117576
3000,D02,,272432,373604,529339,698015,270541,304197,466566,176241,789572,660225,145230,240304
4000,S01,PJ001,242338,496042,696857,358221,952716,641421,127435,982755,349478,478230,311567,565702
4100,S02,PJ002,989943,535626,352588,245835,982221,401954,874770,966293,856546,864495,796877,734969
1000,D01,PJ003,215534,980094,170126,984460,804935,610941,207463,123027,155747,573680,560047,281460
2000,D02,,982828,462729,578809,432077,165180,166928,512200,900858,243691,467428,593481,722966
3000,S01,PJ001,957897,898207,506240,525240,805568,162681,710647,636476,745036,445206,904366,653631
4000,S02,PJ002,225085,401694,984344,815174,586461,637413,101393,912146,480164,491836,572512,751657
4100,D01,PJ003,137946,559494,599030,842340,357831,260805,338492,466499,688279,923683,807512,620122
1000,D02,,309967,731656,536000,291440,898641,300052,460214,827604,908628,679272,242626,319735
2000,S01,PJ001,801378,659891,415564,337833,156283,901255,428124,135998,217017,769627,618506,951003
3000,S02,PJ002,894958,301331,442177,565198,522163,963780,304820,267026,223113,645706,981821,291503
4000,D01,PJ003,799944,573137,964823,869716,657616,529508,930591,234872,694336,196285,853781,113256
4100,D02,,734384,523717,826708,610579,407121,748764,780344,566408,985528,601092,745968,157000
1000,S01,PJ001,135838,338323,673464,474070,373793,529900,538888,201103,569841,749390,471564,868437
2000,S02,PJ002,120335,153371,307968,819992,507890,438932,260997,163303,308044,555099,694463,420669
3000,D01,PJ003,453297,679958,286690,352298,178976,312306,711722,674463,440065,448344,232932,876602
4000,D02,,244211,397153,548503,764404,800972,910073,419779,461692,517407,839462,805523,709482
4100,S01,PJ001,277712,554120,146108,160227,541498,745691,990704,128653,393936,684038,584318,178510
1000,S02,PJ002,279430,703431,119328,580960,781167,959196,196560,382575,397772,865114,523323,146536
2000,D01,PJ003,131209,845030,181018,601470,998001,373950,616576,664650,619711,157254,569754,418236
3000,D02,,464467,505305,537256,306564,533428,375231,652595,725549,362459,716888,813271,485740
4000,S01,PJ001,463592,331281,494692,372887,989363,899089,196698,459648,386647,366884,112358,958163
4100,S02,PJ002,675750,202588,512294,404620,611457,497434,327628,938906,718341,444650,726968,170384
1000,D01,PJ003,696192,516458,850298,362132,456502,222064,762212,629480,250578,996737,759548,523497
2000,D02,,116243,591447,946020,784221,877586,822095,650642,104071,501988,513460,891026,521405
3000,S01,PJ001,713496,497306,345304,406393,871459,561784,488455,159163,893828,568518,489159,593397
4000,S02,PJ002,240875,943875,379868,275199,222695,332984,137044,553501,350794,357889,696020,484643
4100,D01,PJ003,101210,437779,689362,640320,882741,198422,558576,360592,249435,308832,986125,861044
1000,D02,,810689,394632,810317,804943,894233,514726,423937,962875,662772,325422,969181,946939
2000,S01,PJ001,110825,638430,733105,443764,100064,255914,475239,227293,819399,464740,885825,735784
3000,S02,PJ002,661510,482680,388756,500177,982628,426244,177515,753208,463776,358395,517262,493881
4000,D01,PJ003,146329,592772,342420,527777,681644,931127,412722,349477,644846,218510,734444,812379
4100,D02,,383649,144564,888705,260298,100863,544203,484564,910079,954479,540240,356137,605525
1000,S01,PJ001,351494,801861,253709,825927,163001,349851,169383,150068,345354,645468,112768,367173
2000,S02,PJ002,673103,302318,888776,516082,764911,256405,899889,938282,973677,644203,972872,322097
3000,D01,PJ003,406056,264628,202650,948431,285620,816861,773675,428382,889771,744606,849654,746786
4000,D02,,793003,164370,313729,541336,792996,282532,199842,925667,999207,393413,266750,529367
4100,S01,PJ001,166641,486735,389097,240812,881219,444417,937983,663922,670177,447508,387290,217550
1000,S02,PJ002,340967,126891,494031,939541,872728,480254,398522,404735,266743,920938,387911,730465
2000,D01,PJ003,796556,964093,105163,526754,817536,206021,836219,205321,985124,995648,530019,749149
3000,D02,,109921,382489,247051,995132,524997,676920,422352,605960,233345,669884,574043,983386
4000,S01,PJ001,780758,148635,108084,391901,815466,127131,156726,238354,591135,689945,598878,900134
4100,S02,PJ002,749486,426330,192381,767170,175772,867284,279165,240937,549773,112014,907557,772457
1000,D01,PJ003,302115,946320,866294,119937,572881,404909,802383,996792,816066,501405,521936,501550
2000,D02,,713687,793659,208164,108057,381687,911573,836607,119872,574957,313287,355379,601487
3000,S01,PJ001,341439,940573,878568,286866,862755,883276,393767,498058,564672,464506,229619,136875
4000,S02,PJ002,681576,529245,537815,769003,900591,286144,278247,717308,617112,868423,138265,347994
4100,D01,PJ003,859349,655776,800879,863816,833776,474908,626857,879735,676760,395523,902582,701146
1000,D02,,676696,667340,255529,717215,583519,943195,940546,222983,785024,280226,375805,324529
2000,S01,PJ001,749095,270585,549341,874248,247387,154723,146365,481545,945703,187298,643008,859908
3000,S02,PJ002,342787,386019,480198,592967,126158,358775,903648,846918,369127,976897,895504,240387
4000,D01,PJ003,719813,948553,327155,751826,459176,241791,636521,789545,362133,498127,789773,809430
4100,D02,,380864,819718,791809,427927,202581,125301,977451,671814,918874,878953,414418,580204
1000,S01,PJ001,806513,569110,114140,714502,412968,110414,809757,499746,172861,661165,302805,994953
2000,S02,PJ002,208596,103782,272333,188968,874622,923912,255787,951213,549527,374936,675724,496265
3000,D01,PJ003,554671,388705,358509,796344,387615,298492,354190,463089,802367,308995,707973,677222
4000,D02,,120668,842079,480944,580957,937107,387540,553709,764279,748504,223991,189558,331624
4100,S01,PJ001,510044,373136,764545,540998,673811,602106,896912,508148,604984,395197,846978,883819
1000,S02,PJ002,300099,532860,495559,130544,327355,699925,975355,506121,780603,744551,535411,798419
2000,D01,PJ003,677707,493616,166895,272936,285766,322238,222821,589477,188782,961033,838450,360330
3000,D02,,822226,237553,735747,107480,751672,421208,213579,526292,600511,193207,444647,159971
4000,S01,PJ001,937139,743006,245267,848802,393013,496604,267072,764585,195778,506583,503097,150233
4100,S02,PJ002,248190,543442,709707,194039,666073,219395,999490,910611,425613,491389,968334,233633
1000,D01,PJ003,140372,149512,335597,116752,757012,533684,305146,238365,954350,889446,688045,624318
2000,D02,,524637,900640,338460,915970,817872,259555,238891,450155,436705,639044,400248,869570
3000,S01,PJ001,570752,401748,976259,447665,873888,383606,858516,956053,478688,386458,227730,596985
4000,S02,PJ002,162186,740110,575939,225555,561155,477370,786345,310029,166348,935461,125980,641456
4100,D01,PJ003,874190,122815,599302,535776,863502,964866,960053,470598,887422,890200,330774,109484
1000,D02,,173092,927218,826698,907877,518536,331838,452689,254447,850298,740674,439772,481458
2000,S01,PJ001,134074,118607,313581,111177,902722,442752,667448,168919,634847,285247,161197,388562
3000,S02,PJ002,907272,147490,460489,618320,265157,114823,379935,124164,200506,980737,194098,581101
4000,D01,PJ003,169734,986403,512978,962768,525793,891914,293229,134183,996299,150564,766086,816283
4100,D02,,244534,905651,914226,431181,114396,636189,146928,508871,853664,342090,927507,569970
1000,S01,PJ001,470378,726738,384497,742869,269085,636094,235712,390635,466501,108180,489725,864566
2000,S02,PJ002,493623,480568,504451,543898,185127,134140,170561,611043,134750,913868,304982,432596
3000,D01,PJ003,213422,436322,689275,188297,250008,699424,114506,985899,911879,459510,618044,799976
4000,D02,,109218,331892,219168,198855,741868,390776,842209,896435,615287,857248,971944,815140
4100,S01,PJ001,128916,839386,849269,546088,317115,354666,624830,744645,119399,249900,662938,510365
1000,S02,PJ002,548041,545726,806305,578623,981572,176194,883223,535071,146445,786743,527734,600713
2000,D01,PJ003,191949,395927,446213,534122,753593,578154,486577,167122,415587,464808,173540,172392
3000,D02,,263919,970196,861381,643749,387557,681885,777223,774995,890407,824983,396383,389808
4000,S01,PJ001,426426,859628,429353,641061,257344,570040,727582,579879,898475,178602,248246,565555
4100,S02,PJ002,512749,566433,582184,638366,919597,221355,685280,283540,889390,780620,989912,168623
1000,D01,PJ003,767264,455072,906705,642603,755296,449571,995402,630950,144562,464650,956001,639894
2000,D02,,294581,603068,849794,432607,399928,881280,653508,545566,773960,679887,507488,950219
3000,S01,PJ001,589911,739700,254694,793064,333954,276492,240318,906581,772982,553667,651563,975083
4000,S02,PJ002,763752,702551,319999,851630,830522,418511,706916,457478,181671,228597,555757,205839
4100,D01,PJ003,425124,710610,951977,544399,917521,982909,870702,938902,610477,195062,227290,236048
1000,D02,,571654,942304,652200,537789,889464,778260,734376,931977,419992,506222,386325,380831
2000,S01,PJ001,378686,636182,620178,302576,361540,777043,492932,998058,566606,679042,604675,794319
3000,S02,PJ002,554383,888553,765603,468339,115781,739660,714905,360755,459915,242145,531832,713027
4000,D01,PJ003,727290,650852,747480,463790,962080,295341,933076,284237,240967,452534,382272,247821
4100,D02,,449451,500814,236443,872840,304231,950182,263391,379786,292008,446142,523808,820837
1000,S01,PJ001,175959,630747,838679,205340,838595,249449,438933,985596,390909,583810,469970,799173
2000,S02,PJ002,228021,125089,491177,518152,274718,167876,980514,689223,533787,979819,855116,458408
3000,D01,PJ003,883619,972167,209769,846905,584651,501753,816687,244729,133959,507229,584782,456170
4000,D02,,710455,131611,622268,646290,299760,873656,870331,680981,656811,844710,971645,463572
4100,S01,PJ001,243236,359399,666016,604550,266720,298715,612550,384858,938500,319235,171972,986570
1000,S02,PJ002,704476,514181,339580,342589,781738,206881,857662,115801,448328,922659,488677,428528
2000,D01,PJ003,713106,245089,615178,191434,854664,929067,363766,186789,345348,622474,356038,733131
3000,D02,,508068,964597,394303,699451,394734,144957,909513,728792,806371,894087,768553,988335
4000,S01,PJ001,715304,700924,793689,597293,545748,559586,886728,829589,513357,992685,716367,824642
